Lebensmittel;Einheit;kcal;PRO;FAT;KH;FIB;GI;Standard;LiquidMl;Kategorie;Zusatzinfo;vitA;vitB1;vitB2;vitB3;vitB5;vitB6;vitB7;vitB9;vitB12;vitC;vitD;vitE;vitK;calcium;chlorid;eisen;fluorid;kalium;kupfer;magnesium;mangan;natrium;phosphor;schwefel;zink;VGN;VGT;LC;HP;KET;GF;LF;ZF
"Granatapfel";100g;78;1.1;0.6;16.1;3.5;35;150;;Obst;"Reich an Antioxidantien";4;0.03;0.02;0.3;0.4;0.1;0.1;38;;7;;0.3;10;8;1;0.5;0.01;240;0.1;10;0.1;3;18;10;0.1;J;J;N;N;N;J;J;N
"Granatapfelsaft";100ml;54;0.2;0.1;13.1;0.1;53;250;100;Getränke;"Reich an Antioxidantien";;0.01;0.01;0.2;0.1;0.04;;6;;1;;0.1;0.1;10;;0.1;;214;;7;;3;12;;0.1;J;J;N;N;N;J;J;N
"Grapefruit";100g;42;0.7;0.1;9.2;1.6;25;200;;Obst;"Reich an Vitamin C";46;0.04;0.03;0.2;0.28;0.04;1;13;;44;;0.2;1;22;2;0.1;0.01;180;0.03;9;0.01;1;18;10;0.1;J;J;N;N;N;J;J;N
"Griechischer Joghurt 2%";100g;73;9.9;2;3.9;0;15;150;;Milchprodukte;"Enthält Laktose";25;0.03;0.2;;;0.04;;7;0.5;1;;0.02;;110;;0.1;;141;;11;;36;135;;0.5;N;J;N;N;N;J;N;N
"Grünkohl";100g;49;4.3;0.9;9;3.6;15;150;;Gemüse;"Frisch, roh";;500;0.11;0.13;1;0.07;0.27;0.4;141;;120;;1.5;705;150;70;1.5;0.04;491;0.29;47;0.66;38;92;140;J;J;N;N;N;J;J;N
"Gruyère";100g;413;29.8;32.3;0.1;0;;30;;Käse;"Schweizer Hartkäse aus Rohmilch, Fettgehalt ca. 45-50% i. Tr.";260;0.04;0.4;0.1;0.5;0.08;2;20;1.6;;0.3;0.6;3;1011;1100;0.2;0.04;81;0.03;36;0.02;714;600;240;3.9;N;J;J;J;J;J;J;J
"Gurke";100g;15;0.6;0.2;1.8;0.9;15;150;;Gemüse;"Frisch mit Schale";23;0.02;0.03;0.2;0.2;0.04;1;14;;8;;0.1;16;15;20;0.2;0.02;140;0.05;8;0.1;2;17;5;0.2;J;J;J;N;J;J;J;N
"Brathähnchen";100g;230;24;15;0;0;;350;;Fleisch&Wurst;"Werte gelten für Fleisch mit Haut, gegart. Ein halbes Hähnchen wiegt essbar ca. 300-400g.";40;0.08;0.18;9.3;1.1;0.5;3;8;0.4;;0.15;0.3;2;12;80;1.2;0.01;260;0.07;25;0.02;90;200;240;1.1;N;N;J;J;J;J;J;J
"Hähnchenflügel";100g;221;19.2;16;0;0;;150;;Fleisch&Wurst;"Werte gelten für gegarte Hähnchenflügel mit Haut, ohne Knochenanteil berechnet.";25;0.07;0.12;6.5;0.9;0.35;2;5;0.4;;0.2;0.3;2;12;75;1.1;0.03;210;0.06;20;0.02;82;165;210;1.1;N;N;J;J;J;J;J;J
"Hähnchenkeule (mit Haut)";100g;214;19.4;15;0;0;;150;;Fleisch&Wurst;"Rohes Produkt, mit Haut verzehrt";45;0.08;0.18;5.2;1.1;0.25;3;7;0.4;;0.2;0.3;2;11;80;1.2;0.01;225;0.07;19;0.02;85;165;195;1.8;N;N;J;J;J;J;J;J
"Hähnchenschenkel (ohne Haut)";100g;120;21;4;0;0;;150;;Fleisch&Wurst;"Werte für gegartes Fleisch können variieren";;19;0.08;0.18;5.8;1;0.35;3;6;0.4;;0.1;0.2;1;11;80;1.2;0.02;250;0.07;22;0.02;85;180;210;N;N;J;J;J;J;J;J
"Halloumi 43 %";100g;321;23;24.5;2.2;0;;125;;Käse;"Traditioneller Grillkäse aus Zypern, meist aus einer Mischung von Schafs-, Ziegen- und Kuhmilch. Hoher Salzgehalt.";240;0.02;0.4;0.1;0.3;0.05;2;15;0.6;;0.3;0.6;1.5;730;1000;0.1;0.04;80;0.02;20;0.01;1200;500;210;3.3;N;J;N;J;N;J;N;J
"Hanföl";100g;884;0;100;0;0;;10;;Öle&Fette;"Reich an Omega-3- und Omega-6-Fettsäuren (Gamma-Linolensäure). Kaltgepresst verwenden.";;;;;;;;;;;;9;50;;;;;;;;;;;;;J;J;J;N;J;J;J;J
"Hanfsamen (geschält)";100g;590;31.2;49.2;3.3;4;15;30;;Nüsse&Samen;"Reich an Omega-3-Fettsäuren";1;1.3;0.3;9.2;;0.6;;110;;1;;0.8;;70;;8;;1200;;700;;5;1650;;10;J;J;J;J;J;J;J;J
"Hamburger Patty (Rind)";100g;250;21;18;0;0;;125;;Fleisch&Wurst;"Werte beziehen sich auf ein reines Rinderhack-Patty, roh.";;0.08;0.18;5.2;0.6;0.35;3;8;2.4;;0.1;0.2;1.5;12;75;2.3;0.02;320;0.08;22;0.01;65;200;230;4.5;N;N;J;J;J;J;J;J
"Harzer Käse 0,5 %";100g;125;30;0.5;0.1;0;;100;;Käse;"Traditioneller Sauermilchkäse, fast fettfrei und sehr proteinreich.";20;0.03;0.35;0.1;0.3;0.1;3;25;2.2;;0.3;;10;200;1200;0.4;0.04;80;0.1;20;0.01;500;400;180;4.5;N;J;J;J;J;J;J;J
"Haselnüsse";100g;644;12;61.6;10.5;8.2;15;30;;Nüsse&Samen;"Reich an Vitamin E und einfach ungesättigten Fettsäuren.";5;0.4;0.2;1.4;0.6;0.3;16;71;;3;;26.6;13;225;40;3.8;0.04;636;1.3;156;5.1;2;333;140;2.4;J;J;J;N;N;J;J;N
"Heidelbeeren";100g;42;0.6;0.6;7.4;4.9;25;125;;Obst;"Werte gelten für frische Heidelbeeren (Blaubeeren). Hoher Gehalt an Anthocyanen.";6;0.02;0.02;0.4;0.12;0.06;1.1;6;;22;;2.1;19;10;2;0.7;0.01;78;0.06;2;0.2;1;13;10;0.1;J;J;N;N;N;J;J;N
"Frische Hefe";100g;105;16.7;1.5;1;6.2;35;42;;Sonstiges;"Frischbackhefe (Würfel)";;0.6;1.6;12;3.5;0.6;30;700;0.1;;;;;20;50;3.2;0.04;600;0.2;35;0.1;30;380;140;4.5;J;J;J;J;J;J;J;J
"Heilbutt (weiß)";100g;104;20.8;2.3;0;0;;150;;Fisch&Meeresfrüchte;"Reich an Omega-3-Fettsäuren";15;0.06;0.08;6.5;0.4;0.4;1;12;1;;5;0.8;1;15;100;0.7;0.04;450;0.04;28;0.02;80;220;240;0.6;N;N;J;J;J;J;J;J
"Heringsfilet";100g;192;17.5;13.5;0;0;;100;;Fisch&Meeresfrüchte;"Werte können je nach Zubereitung (z.B. in Sauce) variieren";;24;0.04;0.25;4.5;0.8;0.3;5;7;8.5;;25;1.5;0.1;34;120;1;0.4;320;0.1;31;0.04;120;250;240;N;N;J;J;J;J;J;J
"Hirschgulasch";100g;110;21.5;2.5;0;0;;200;;Fleisch&Wurst;"Mageres Wildfleisch, Rohzustand ohne Sauce. Reiches Mineralstoffprofil.";5;0.18;0.25;7.5;0.7;0.45;2;6;2.2;1;0.4;0.3;1;6;60;3.2;0.015;330;0.18;22;0.02;45;210;210;3.5;N;N;J;J;J;J;J;J
"Himbeeren";100g;34;1.3;0.3;4.8;4.7;25;125;;Obst;"Frisch, roh. Reich an Vitamin C und Ballaststoffen.";4;0.02;0.05;0.3;0.2;0.05;1.5;28;;25;;0.5;10;40;5;1;0.01;170;0.1;30;0.4;3;44;18;0.4;J;J;J;N;J;J;J;N
"Hirtenkäse 45 %";100g;278;17;23;1;0;;30;;Käse;"Salzlakenkäse aus Kuhmilch";220;0.04;0.25;;;0.1;;;1.5;;0.3;0.6;;450;1200;0.2;;80;;25;;1100;350;;1.5;N;J;J;J;J;J;N;J
"Honig";100g;304;0.3;0;82;0.2;60;20;;Süßwaren;"Naturreiner Bienenhonig. Werte können je nach Sorte leicht variieren.";;0.01;0.01;0.2;0.05;0.02;0.1;2;;1;;;;6;5;0.4;0.01;52;0.04;2;0.1;4;18;7;0.1;N;J;N;N;N;J;J;N
"Honigmelone";100g;34;0.5;0.1;8.1;0.8;60;150;;Obst;"Hoher Wasseranteil, reich an Kalium. Gi-Wert variiert je nach Reifegrad.";2;0.04;0.02;0.4;0.13;0.07;0.1;20;;18;;0.05;2.5;11;21;0.1;0.02;267;0.03;10;0.02;18;17;14;0.1;J;J;N;N;N;J;J;N
"Hüttenkäse 4 %";100g;102;12.5;4.3;3.1;0;30;200;;Milchprodukte;"Auch bekannt als körniger Frischkäse. Fettgehalt 4% absolut.";40;0.03;0.18;0.1;0.5;0.05;3;15;0.6;;0.1;0.1;1;95;450;0.1;0.01;104;0.02;11;0.01;370;150;140;0.5;N;J;J;N;N;J;N;N
"Jagdwurst";100g;231;14;19;1;0;;30;;Fleisch&Wurst;"Werte können je nach Hersteller leicht variieren. Hoher Natriumgehalt durch Pökelsalz.";;0.35;0.2;3.5;;0.25;;;0.8;;;;;10;1200;1.5;;250;;15;;900;180;;2.5;N;N;J;N;N;J;J;J
"Joghurt 0,1 %";100g;42;4.2;0.1;5.2;0;35;150;;Milchprodukte;"Magerjoghurt natur";2;0.04;0.18;0.1;0.4;0.05;3.5;5;0.4;1;0.01;0.02;0.1;120;100;0.1;0.02;160;0.01;12;0.01;50;95;30;0.4;N;J;N;N;N;J;N;N
"Joghurt 1,5 %";100g;47;4.2;1.5;5;0;35;150;;Milchprodukte;"Naturjoghurt, fettarm";15;0.04;0.18;0.1;0.35;0.05;3.5;5;0.4;1;0.01;0.02;0.1;120;100;0.1;0.02;160;0.01;12;0.005;50;95;30;0.4;N;J;N;N;N;J;N;N
"Joghurt 3,5 %";100g;65;3.4;3.5;4.1;0;35;150;;Milchprodukte;"Naturjoghurt, vollfett";30;0.04;0.18;0.1;0.4;0.05;3.5;5;0.4;1;0.05;0.04;0.3;120;100;0.1;0.02;150;0.01;12;0.003;50;95;25;0.4;N;J;N;N;N;J;N;N
"Johannisbeeren";100g;33;1.1;0.2;4.8;3.5;25;125;;Obst;"Werte für rote Johannisbeeren. Schwarze Johannisbeeren haben einen deutlich höheren Vitamin-C-Gehalt.";4;0.04;0.03;0.2;0.06;0.05;;3;;36;;0.1;11;29;14;1.2;0.01;257;0.1;13;0.18;1;27;14;0.2;J;J;J;N;N;J;J;N
"Kabeljau (Dorsch)";100g;78;18.2;0.6;0;0;;150;;Fisch&Meeresfrüchte;"Frisch, gegart abweichend. Magerfisch mit hohem Proteingehalt.";2;0.05;0.06;2.5;0.25;0.2;1;12;1.2;;1;0.3;1;20;100;0.4;0.04;340;0.03;25;0.01;80;190;240;0.4;N;N;J;J;J;J;J;J
"Karottensaft";100ml;39;0.7;0.2;8.3;0.8;40;200;100;Getränke;"Frisch gepresst oder Direktsaft, reich an Beta-Carotin (Provitamin A)";950;0.04;0.03;0.4;0.2;0.1;1.5;4;;3;;0.5;10;24;45;0.4;0.01;280;0.04;12;0.1;33;29;10;0.2;J;J;N;N;N;J;J;N
"Kaffee schwarz";100ml;2;0.1;0;0.3;0;0;200;100;Getränke;"Gebrühter Filterkaffee, ohne Zucker und Milch. Koffeingehalt ca. 40mg/100ml.";0;0.01;0.01;0.7;0.2;0.01;0.1;2;0;0;0;0;0.1;2;2;0.01;0.01;49;0.01;4;0.02;2;3;2;0.05;J;J;J;N;J;J;J;J
"Kakaopulver 100%";100g;366;20;21;12;33;20;15;;Süßwaren;"Reiner Backkakao, schwach entölt";4;0.08;0.24;2.2;0.25;0.12;20;32;;;;0.3;2.5;128;45;13.9;0.05;1524;3.8;499;3.8;21;734;210;6.8;J;J;N;J;N;J;J;J
"Kaki";100g;70;0.6;0.2;18.6;3.6;50;150;;Obst;"Reich an Vitamin C";267;0.03;0.02;0.1;0.1;0.1;;8;;7;;0.7;2.6;8;5;0.2;0.01;161;0.11;9;0.35;1;26;11;0.1;J;J;N;N;N;J;J;N
"Kalbsbrust";100g;154;20.3;8.1;0;0;;150;;Fleisch&Wurst;"Rohe Kalbsbrust, Durchschnittswerte";8;0.06;0.25;6.3;0.6;0.3;4;8;1.5;;0.5;0.1;2;11;80;2.1;0.01;330;0.1;22;0.02;80;200;210;3.5;N;N;J;J;J;J;J;J
"Kalbsgulasch";100g;110;20.5;3.5;0;0;;200;;Fleisch&Wurst;"Mageres Kalbfleisch aus der Schulter oder Keule, roh.";10;0.1;0.25;6.5;0.75;0.35;4;7;2;;0.1;0.2;3;10;80;2.5;0.02;330;0.1;22;0.03;90;210;210;4.1;N;N;J;J;J;J;J;J
"Kalbshaxe";100g;118;21.5;3.1;0;0;;350;;Fleisch&Wurst;"Nährwerte beziehen sich auf das rohe Muskelfleisch ohne Knochen. Kalbshaxe ist relativ mager im Vergleich zu Schweinehaxe.";8;0.11;0.25;6.5;0.75;0.35;4;10;1.8;;0.5;0.2;3;12;75;2.9;0.02;330;0.12;23;0.02;80;200;210;4.4;N;N;J;J;J;J;J;J
"Kalbsleber";100g;129;20.2;3.6;2.9;0;;150;;Fleisch&Wurst;"Reich an Eisen und Vitamin A";22000;0.3;2.6;14.5;6.5;0.9;35;240;65;35;1.3;0.5;3;6;80;7.9;0.02;330;7.5;22;0.3;90;345;240;6.1;N;N;N;J;N;J;J;N
"Kalbsleberwurst";100g;338;12;31;1;0;;30;;Fleisch&Wurst;"Nährwerte können je nach Leberanteil variieren. Enthält oft Schweinefleisch.";4500;0.15;0.8;5;0.5;0.3;0.005;80;12;2;0.5;0.5;5;15;500;5.4;0.01;210;0.1;15;0.02;780;180;100;2.1;N;N;J;N;J;J;J;J
"Kalbsrücken";100g;112;22.1;2.6;0;0;;200;;Fleisch&Wurst;"Mageres Teilstück vom Kalb, reich an hochwertigem Protein.";;0.1;0.2;6.5;1;0.4;3;8;1.6;;0.2;0.3;1;10;80;1.8;0.02;330;0.1;22;0.02;60;210;240;3.3;N;N;J;J;J;J;J;J
"Kalbsschnitzel";100g;105;22.8;1.5;0;0;;150;;Fleisch&Wurst;"Mageres Fleisch";5;0.1;0.25;6.5;0.75;0.35;3;7;1.2;;0.2;0.1;1;10;80;2;0.02;330;0.1;23;0.02;85;210;220;3.3;N;N;J;J;J;J;J;J
"Kaninchenfleisch";100g;153;21;7.1;0;0;;150;;Fleisch&Wurst;"Mageres Fleisch, reich an Protein und B-Vitaminen. Durchsschnittswerte für das ganze Tier ohne Innereien.";;0.1;0.15;6.5;0.6;0.35;1.5;8;6;;;0.3;1;13;50;3.2;0.01;330;0.18;29;0.02;45;220;240;2.4;N;N;J;J;J;J;J;J
"Karotten";100g;39;0.9;0.2;6.8;2.8;35;80;;Gemüse;"Frisch, roh";0.8;835;0.06;0.05;0.6;0.27;0.07;1.5;28;0.006;5;0.0006;0.5;13;33;60;0.4;0.02;320;0.04;12;0.12;60;35;14;J;J;J;N;N;J;J;N
"Karpfen";100g;115;18;4.8;0;0;;150;;Fisch&Meeresfrüchte;"Frischwasser-Speisefisch, Werte können je nach Fettgehalt variieren.";24;0.12;0.06;1.6;0.75;0.19;5;15;1.5;1;20;0.7;1;41;60;1.2;0.04;333;0.04;29;0.04;50;220;190;0.9;N;N;J;J;J;J;J;J
"Kartoffeln";100g;77;2;0.1;14.8;2.1;70;200;;Gemüse;"Gekocht, mit Schale (Durchschnittswert). Der GI kann je nach Zubereitungsart variieren.";;0.11;0.05;1.2;0.4;0.25;0.1;20;;17;;0.05;2.1;6;50;0.4;0.01;417;0.1;20;0.15;3;50;14;0.3;J;J;N;N;N;J;J;J
"Kasseler Lachs";100g;118;21;3.5;0.5;0;;150;;Fleisch&Wurst;"Geräuchertes und gepökeltes Schweinefleisch, meist aus dem Rücken (Lachs). Hoher Natriumgehalt durch Pökeln.";;0.6;0.2;5;0.7;0.5;3;4;0.6;;0.4;0.1;;8;1500;1.5;0.04;350;0.1;25;0.02;950;200;230;2.4;N;N;J;J;J;J;J;J
"Kasseler Nacken";100g;165;16;11;0.5;0;;150;;Fleisch&Wurst;"Geräuchertes und gepökeltes Schweinefleisch (Nacken), hoher Natriumgehalt durch Pökelung.";5;0.6;0.2;4.5;0.6;0.4;3;4;0.6;;0.5;0.1;1;8;1200;1.5;0.04;330;0.08;22;0.01;900;180;190;2.1;N;N;J;J;J;J;J;J
"Kiwi";100g;61;1.1;0.5;14.7;3;50;75;;Obst;"Frisch, geschält. Bekannt für hohen Vitamin C Gehalt.";4;0.03;0.03;0.3;0.2;0.06;0.2;25;;93;;1.5;40;34;25;0.3;0.02;312;0.13;17;0.1;3;34;14;0.1;J;J;N;N;N;J;J;N
"Kohlrabi";100g;27;2;0.1;3.7;1.4;15;150;;Gemüse;"Frisch, roh gegart ähnlich. Reich an Vitamin C.";4;0.05;0.05;0.4;0.2;0.15;0.1;70;;62;;0.2;1;68;45;0.9;0.01;380;0.13;43;0.14;20;50;50;0.2;J;J;J;N;J;J;J;J
"Kokosnusswasser";100ml;19;0.7;0.2;3.7;1.1;35;250;100;Getränke;"Frisches Wasser aus der grünen Kokosnuss. Elektrolytreich.";;0.03;0.06;0.1;0.04;0.03;1;3;;2.4;;;;24;105;0.3;0.04;250;0.04;25;0.14;105;20;5;0.1;J;J;J;N;J;J;J;N
"Kokosöl";100g;862;0;99.1;0;0;;15;;Öle&Fette;"Besteht fast ausschließlich aus gesättigten Fettsäuren, insbesondere Laurinsäure.";;;;;;;;;;;;0.1;0.5;;;0.04;;;0.01;;;;;;0.01;J;J;J;N;J;J;J;J
"Krakauer";100g;287;15.5;24.5;1;0;;100;;Fleisch&Wurst;"Werte können je nach Hersteller und Fettgehalt variieren. Hoher Natriumgehalt durch Pökelsalz.";;0.3;0.2;4.5;;0.3;;;1.2;;;;;15;1200;1.8;;310;;20;;950;180;;2.5;N;N;J;J;J;J;J;J
"Kräuterseitlinge";100g;25;3;0.2;1.2;3.2;15;150;;Gemüse;"Speisepilz, reich an Ballaststoffen und Vitamin B-Komplex";;0.04;0.15;4.5;0.8;0.1;;20;;3;0.7;0.1;;3;25;0.7;;330;0.1;15;;5;120;;0.6;J;J;J;N;J;J;J;J
"Kürbiskerne";100g;559;30.2;49.1;10.7;6;10;30;;Nüsse&Samen;"Hoher Magnesium- und Zinkgehalt. Roh/Getrocknet.";1;0.27;0.15;1.7;0.75;0.14;1;58;;1.9;;2.2;7;46;17;8.8;0.1;809;1.3;592;4.5;7;1233;240;7.8;J;J;N;J;N;J;J;J
"Kürbiskernöl";100g;828;0;92;0;0;;10;;Öle&Fette;"Reich an ungesättigten Fettsäuren und Vitamin E.";;;;;;;;;;;;29;;;;0.1;;;;;;;;;0.1;J;J;J;N;J;J;J;J
"Lammfilet";100g;118;21.5;3.5;0;0;;150;;Fleisch&Wurst;"Mageres Teilstück vom Lamm, sehr proteinreich.";4;0.15;0.25;5.5;0.6;0.35;3;5;2.2;;0.2;0.2;1;7;80;2;0.02;330;0.1;22;0.03;50;190;220;3;N;N;J;J;J;J;J;J
"Lammhackfleisch";100g;241;18.4;18.5;0;0;;150;;Fleisch&Wurst;"Reich an Eisen";;0.12;0.16;4.8;0.5;0.15;3;2;2.5;;0.1;0.2;;10;80;1.8;0.01;280;0.1;18;0.01;70;170;180;3.5;N;N;J;J;J;J;J;J
"Lammhaxe";100g;235;18.5;17.5;0;0;;350;;Fleisch&Wurst;"Werte beziehen sich auf den verzehrbaren Anteil (ohne Knochen) im rohen Zustand. Lammfleisch ist eine hervorragende Zink- und B12-Quelle.";;0.12;0.2;5.2;0.6;0.15;1.5;5;2.6;;0.2;0.2;;12;80;2.2;0.02;280;0.18;22;0.03;70;180;210;4.5;N;N;J;J;J;J;J;J
"Lammkeule";100g;234;20.5;16.8;0;0;;150;;Fleisch&Wurst;"Frisch zubereitet, magerer Anteil mit Fettrand. Minerale variieren je nach Fütterung.";;0.13;0.21;5.8;0.6;0.35;3;4;2.4;;0.2;0.2;;11;80;2.3;0.02;310;0.12;22;0.02;70;190;210;4.5;N;N;J;J;J;J;J;J
"Lammkarree";100g;235;18.5;18;0;0;;200;;Fleisch&Wurst;"Werte können je nach Fettbeschnitt variieren. Lammfleisch ist reich an Vitamin B12 und Zink.";;0.12;0.2;5.5;0.6;0.3;3;4;2.4;;0.1;0.2;;10;75;1.9;0.02;290;0.12;22;0.02;70;185;210;3.8;N;N;J;J;J;J;J;J
"Lammkotelett";100g;235;19.4;17.5;0;0;;150;;Fleisch&Wurst;"Werte beziehen sich auf den verzehrbaren Anteil ohne Knochen, roh zubereitet. Fettgehalt kann je nach Zuschnitt variieren.";;0.12;0.18;5.2;0.65;0.2;1.5;4;2.1;;0.2;0.2;1;10;80;1.9;0.02;260;0.1;22;0.02;70;170;210;3.5;N;N;J;J;J;J;J;J
"Lammrücken";100g;202;20.2;13.5;0;0;;200;;Fleisch&Wurst;"Frisch gegart, mager bis mäßig fettig. Hoher Gehalt an Vitamin B12 und Zink.";;0.15;0.25;5.5;0.65;0.35;3.5;4;2.5;;0.2;0.2;;10;80;2.1;0.02;310;0.12;22;0.02;75;190;210;3.6;N;N;J;J;J;J;J;J
"Lammschulter";100g;232;18.9;17.3;0;0;;150;;Fleisch&Wurst;"Werte können je nach Fettanteil variieren. Durchschnittlicher Wert für gegartes Fleisch.";;0.12;0.2;5.8;0.6;0.25;3.5;4;2.6;;0.2;0.2;;10;80;2.1;0.02;290;0.12;22;0.02;75;175;210;3.8;N;N;J;J;J;J;J;J
"Landjäger";100g;476;23.5;42;1;0;;40;;Fleisch&Wurst;"Geräucherte Rohwurst, Werte können je nach Fettgehalt leicht variieren.";;0.42;0.25;6.2;;0.35;;;2.1;;;;;15;2150;2.8;;380;;22;;1450;220;;3.5;N;N;J;J;J;J;J;J
"Lauchzwiebel";100g;28;1.1;0.3;3.3;2.6;15;15;;Gemüse;"Auch als Frühlingszwiebel bekannt. Werte beziehen sich auf das rohe Produkt.";66;0.05;0.04;0.4;0.1;0.16;0.9;60;;25;;0.5;210;31;18;1.2;0.01;260;0.08;23;0.16;5;38;50;0.4;J;J;N;N;N;J;J;J
"Leberkäse";100g;285;14;25;1;0;;100;;Fleisch&Wurst;"Werte können je nach Hersteller variieren (z.B. Fettgehalt oder Natrium).";;0.12;0.18;3.8;;0.25;;;1.1;;;0.3;5;15;1450;1.5;;330;;20;;950;180;;2.4;N;N;J;N;J;J;J;J
"Leberwurst (fein)";100g;338;12;31;1;0;;30;;Fleisch&Wurst;"Nährwerte können je nach Leberanteil variieren. Reich an Vitamin A.";6600;0.15;0.8;5;1.5;0.3;18;250;15;2;0.6;0.5;3;15;1200;7;0.1;180;2;15;0.04;850;185;145;2.5;N;N;J;N;J;J;J;J
"Leerdammer 45 %";100g;351;26;27.5;0.1;0;;30;;Käse;"Schnittkäse aus Kuhmilch mit dem typisch nussigen Aroma. Lactosefrei.";260;;0.3;;;;;;2.1;;0.3;0.6;;860;;0.2;;80;;35;;650;580;;4;N;J;J;J;J;J;J;J
"Leinsamenöl";100g;884;0;100;0;0;;10;;Öle&Fette;"Extrem hoher Anteil an Omega-3-Fettsäuren (Alpha-Linolensäure). Nicht zum Erhitzen geeignet.";;;;;;;;;;;;17.5;;;;;;;;;;;;;;J;J;J;N;J;J;J;J
"Limette";100g;30;0.7;0.2;10.5;2.8;20;67;;Obst;"Frische Limette, ganze Frucht ohne Schale";2;0.03;0.02;0.2;0.22;0.04;;8;;29;;0.2;0.6;33;2;0.6;0.01;102;0.07;6;0.01;2;18;11;0.1;J;J;N;N;N;J;J;J
"Litschi";100g;66;0.8;0.4;15.2;1.3;50;150;;Obst;"Enthält natürlichen Zucker";;0.01;0.06;0.6;0.1;0.1;0.6;25;;71.5;;0.1;0.4;5;3;0.3;0.01;171;0.15;10;0.06;1;31;18;0.1;J;J;N;N;N;J;J;N
"Lupinenschrot";100g;333;36.5;9.3;12.7;28.4;15;40;;Getreide und Teigwaren;"Hoher Proteingehalt, ideal als Fleischersatz oder Beilage. Reich an Ballaststoffen.";;0.6;0.3;2.5;;0.4;;190;;2;;1.2;;180;;4.4;;1000;1.1;190;2.5;15;440;;3.8;J;J;N;J;N;J;J;J
"Lyoner";100g;264;11.8;24.1;0.5;0;;20;;Fleisch&Wurst;"Wurstsorte aus feinem Brät";;20;0.15;0.18;3.5;0.6;0.2;1.5;5;0.6;;0.3;0.2;2;7;1200;1.3;0.04;220;0.1;12;0.03;850;180;140;N;N;J;N;J;J;J;J
"Macadamianüsse";100g;718;7.9;75.8;4.6;8.6;15;30;;Nüsse&Samen;"Hoher Gehalt an einfach ungesättigten Fettsäuren.";;1.2;0.16;2.5;0.75;0.27;6;11;;1.2;;0.5;;85;180;3.7;0.04;368;0.76;130;4.1;5;188;140;1.3;J;J;J;N;J;J;J;J
"Quark 0,2 %";100g;67;12;0.2;4;0;30;250;;Milchprodukte;"Enthält Laktose";2;0.03;0.2;0.1;0.4;0.06;3;15;0.9;;0.02;0.01;0.1;120;100;0.1;0.04;160;0.02;12;0.01;35;190;50;0.6;N;J;N;J;N;J;N;J
"Makrele (frisch)";100g;205;18.7;13.9;0;0;;150;;Fisch&Meeresfrüchte;"Fetter Seefisch, reich an Omega-3-Fettsäuren.";45;0.13;0.3;7.7;0.9;0.63;5;4;9;;4;1.5;5;12;110;1;0.02;396;0.08;30;0.01;85;244;230;0.6;N;N;J;J;J;J;J;J
"Malzbier";100ml;42;0.4;0;10.2;0;105;330;100;Getränke;"Alkoholfreies Malzgetränk, sehr hoher Glykämischer Index aufgrund von Malzzucker.";;0.01;0.02;0.3;0.05;0.04;0.1;5;;;;;;6;12;0.02;0.02;35;0.01;8;0.02;4;18;5;0.01;N;N;N;N;N;N;J;N
"Mandarine";100g;47;0.7;0.3;10.1;1.7;30;75;;Obst;"Werte können je nach Sorte leicht variieren. Mandarinen sind reich an Vitamin C.";18;0.06;0.03;0.3;0.2;0.07;;16;;30;;0.2;1;33;2;0.4;0.01;210;0.04;11;0.04;2;20;10;0.4;J;J;N;N;N;J;J;N
"Mandeln";100g;589;24;53;5.7;12.9;15;30;;Nüsse&Samen;"Süßmandel, getrocknet";;0.22;0.62;3.4;0.4;0.1;10;45;;;;26;;252;40;4.1;0.09;705;1;170;1.9;1;454;150;3.2;J;J;J;J;J;J;J;J
"Manchego";100g;460;26;38;1;0;;30;;Käse;"Spanischer Schafskäse, Nährwerte variieren je nach Reifegrad.";400;0.04;0.4;0.1;0.5;0.1;3;25;2;;0.5;0.6;3;700;1200;0.5;0.05;100;0.04;30;0.02;800;510;240;4;N;J;J;J;J;J;J;J
"Mango";100g;60;0.6;0.4;13.4;1.7;51;200;;Obst;"Reich an Vitamin C";220;0.04;0.05;0.6;0.2;0.13;1.5;31;;37;;1;4;12;4;0.2;0.01;170;0.1;18;0.1;2;13;11;0.1;J;J;N;N;N;J;J;N
"Maracuja";100g;97;2.2;0.7;23.4;10.4;30;60;;Obst;"Auch als Passionsfrucht bekannt. Hoher Gehalt an Ballaststoffen und Vitaminen.";70;0.02;0.13;1.5;0.2;0.1;5;14;;30;;0.1;0.7;12;37;1.6;0.02;348;0.09;29;0.12;28;68;18;0.1;J;J;N;N;N;J;J;N
"Matjesfilet";100g;267;17.8;21.8;0;0;;150;;Fisch&Meeresfrüchte;"Gesalzener und fermentierter Hering. Hoher Gehalt an Omega-3-Fettsäuren. Salzgehalt schwankend.";28;0.03;0.2;4.2;0.6;0.3;4;5;12;;27;1.5;0.1;34;2100;1.2;0.24;330;0.1;30;0.04;1800;250;240;0.9;N;N;J;J;J;J;J;J
"Mezzo Mix";100ml;43;0;0;10.1;0;70;250;100;Getränke;"Mischgetränk aus Cola und Orangenlimonade. Enthält Koffein und Phosphorsäure.";;;;;;;;;;1;;;;2;2;0.02;0.01;2;0.01;1;0.01;4;1;1;0.01;N;N;N;N;N;J;N;N
